City,State,MGrid
"""ST MARYS",AK,AP82ib
"""SAINT MICHAEL",AK,AP83wl
"""ST MICHAEL",AK,AP83wl
"""SAINT GEORGE ISLAND",AK,AO56en
"""SAINT PAUL ISLAND",AK,AO56en
"""ST GEORGE IS",AK,AO56en
"""ST PAUL ISLE",AK,AO56en
"""ST GEORGE",AK,AO56en
"""SAINT PAUL ISLAND",AK,AO47ue
"""SAINT PAUL",AK,AO47ue
"""ST PAUL",AK,AO47ue
"""ST PAUL ISLE",AK,AO47ue
"""ST PAUL ISLAND",AK,AO47ue
"""SAND POINT",AK,AO95qg
"""SAVOONGA",AK,AP43sq
"""SCAMMON BAY",AK,AP71gr
"""SELAWIK",AK,AP96xo
"""SELDOVIA",AK,BO49ej
"""SEWARD",AK,BP50ib
"""SHAGELUK",AK,BP02fp
"""SHAKTOOLIK",AK,AP94ng
"""SHISHMAREF",AK,AP76ba
"""SHUNGNAK",AK,BP16kv
"""SITKA",AK,CO26mr
"""PORT ALEXANDER",AK,CO26qf
"""PRT ALEXANDER",AK,CO26qf
"""SITKA",AK,CO26qf
"""SKAGWAY",AK,CO29hn
"""SKWENTNA",AK,BP41dw
"""SLEETMUTE",AK,BP11gh
"""SOLDOTNA",AK,BP40oh
"""SOUTH NAKNEK",AK,BO18mq
"""S NAKNEK",AK,BO18mq
"""STEBBINS",AK,AP83ul
"""STERLING",AK,BP40om
"""STEVENS VILLAGE",AK,BP56la
"""STEVENS VLG",AK,BP56la
"""SUTTON",AK,BP51uu
"""CHICKALOON",AK,BP51uu
"""TALKEETNA",AK,BP52ok
"""TANANA",AK,BP35xe
"""TELLER",AK,AP65tg
"""TENAKEE SPRINGS",AK,CO27kt
"""TENAKEE SPGS",AK,CO27kt
"""TOGIAK",AK,AO99rf
"""TANACROSS",AK,BP83hj
"""TOK",AK,BP83hj
"""TOK",AK,BP83jp
"""MENTASTA LAKE",AK,BP83jp
"""TUNUNAK",AK,AP70ko
"""TYONEK",AK,BP41kb
"""UNALAKLEET",AK,AP94tc
"""ATKA",AK,AO22wf
"""UNALASKA",AK,AO22wf
"""UNALASKA",AK,AO63tv
"""DUTCH HARBOR",AK,AO63rv
"""UNALASKA",AK,AO63rv
"""VALDEZ",AK,BP71ej
"""VENETIE",AK,BP67ta
"""WAINWRIGHT",AK,BQ00ap
"""WALES",AK,AP55wo
"""WARD COVE",AK,CO45ck
"""WASILLA",AK,BP51fo
"""BIG LAKE",AK,BP51fo
"""HOUSTON",AK,BP51fo
"""MEADOW LAKE",AK,BP51fo
"""WASILLA",AK,BP51gn
"""MEADOW LAKE",AK,BP51gn
"""BIG LAKE",AK,BP41wl
"""WASILLA",AK,BP41wl
"""WASILLA",AK,BP51fm
"""WASILLA",AK,BP41xi
"""HOUSTON",AK,BP51dp
"""WASILLA",AK,BP51dp
"""WHITE MOUNTAIN",AK,AP84dp
"""WHITE MTN",AK,AP84dp
"""TRAPPER CREEK",AK,BP42lq
"""WILLOW",AK,BP42lq
"""WILLOW",AK,BP51dv
"""WRANGELL",AK,CO45aw
"""YAKUTAT",AK,CO09dm
"""TOK",AK,BP83rd
"""ABBEVILLE",AL,EM71jn
"""LAWRENCEVILLE",AL,EM71jn
"""ABERNANT",AL,EM63kg
"""ADAMSVILLE",AL,EM63mo
"""ADDISON",AL,EM64je
"""ARLEY",AL,EM64je
"""ADGER",AL,EM63jk
"""NORTH JOHNS",AL,EM63jk
"""AKRON",AL,EM62du
"""STEWART",AL,EM62du
"""ALABASTER",AL,EM63of
"""SILURIA",AL,EM63og
"""ALABASTER",AL,EM63og
"""ELLIOTSVILLE",AL,EM63og
"""ELLIOTSVL",AL,EM63og
"""ELLIOTSVLE",AL,EM63og
"""ALBERTA",AL,EM62hf
"""ALBERTVILLE",AL,EM64vg
"""ALEXANDER CITY",AL,EM72aw
"""ALEX CITY",AL,EM72aw
"""ALEXANDRIA",AL,EM73bs
"""ALICEVILLE",AL,EM53wc
"""OLD MEMPHIS",AL,EM53wc
"""COCHRANE",AL,EM53wc
"""MCMULLEN",AL,EM53wc
"""ALLGOOD",AL,EM63rv
"""ALPINE",AL,EM63vh
"""ALTON",AL,EM63qo
"""ALTOONA",AL,EM64ua
"""SNEAD",AL,EM64ua
"""SUSAN MOORE",AL,EM64ua
"""ANDALUSIA",AL,EM61sh
"""BABBIE",AL,EM61sh
"""CAROLINA",AL,EM61sh
"""HEATH",AL,EM61sh
"""SANFORD",AL,EM61sh
"""DIXIE",AL,EM61sh
"""LIBERTYVILLE",AL,EM61sh
"""PLEASANT HOME",AL,EM61sh
"""ROME",AL,EM61sh
"""STRAUGHN",AL,EM61sh
"""ANDALUSIA",AL,EM61si
"""ANDERSON",AL,EM64iv
"""ANNEMANIE",AL,EM62fb
"""ANNISTON",AL,EM73cp
"""OXFORD",AL,EM73cp
"""BLUE MOUNTAIN",AL,EM73cp
"""FORT MC CLELLAN",AL,EM73cp
"""FT MC CLELLAN",AL,EM73cp
"""FT MCCLELLAN",AL,EM73cp
"""ARAB",AL,EM64sh
"""ARITON",AL,EM71do
"""ARLEY",AL,EM64jb
"""ARLINGTON",AL,EM62fb
"""ASHFORD",AL,EM71je
